Surah,Name of Surah,Arabic title(s),Meaning,Number of Ayahs,Number of Rukus,Place of Revelation,Surah
1,Al-Fatehah,ٱلْفَاتِحَة,The Opening,7,1,Meccan,5
6,Al-An'am,ٱلْأَنْعَام,The Cattle,165,20,Meccan,55
7,Al-A'raf,ٱلْأَعْرَاف,The wall with elevations,206,24,Meccan,39
10,Al-Yunun,يُونُس,The Prophet [Jonah],109,11,Meccan,51
11,Al-Hud,هُود,The Prophet Hood,123,10,Meccan,52
12,Yusuf,يُوسُف,The Prophet [Joseph],111,12,Meccan,53
14,Al-Ibrahim,إِبْرَاهِيم,The Prophet [Abraham],52,7,Meccan,72
15,Al-Hijr,ٱلْحِجْر,The Rocky Tract,99,6,Meccan,54
16,Al-Nahl,ٱلنَّحْل,The Bee,128,16,Meccan,70
17,Israa,ٱلْإِسْرَاء,The journey by night,111,12,Meccan,50
18,Al-Kahf,ٱلْكَهْف,The cave,110,12,Meccan,69
19,Al-Maryam,مَرْيَم,Mary (Mother of Jesus),98,6,Meccan,44
20,Taha,طه,One of the names of Prophet Muhammad (SAW),135,8,Meccan,45
21,Al-Anbiya,ٱلْأَنْبِيَاء,The Prophets,112,7,Meccan,73
23,Al-Muminun,ٱلْمُؤْمِنُون,The Believers,118,6,Meccan,74
25,Al-Furqan,ٱلْفُرْقَان,The Criterion,77,6,Meccan,42
26,Ash-Shu-ara,ٱلشُّعَرَاء,The Poets,227,11,Meccan,47
27,Al-Naml,ٱلنَّمْل,The Ant,93,7,Meccan,48
28,Al-Qasaas,ٱلْقَصَص,The Narration,88,9,Meccan,49
29,Al-Ankabut,ٱلْعَنْكَبُوت,The Spider,69,7,Meccan,85
30,Al-Rum,ٱلرُّوم,The Romans,60,6,Meccan,84
31,Luqman,لُقْمَان,Luqman (A wise man),34,4,Meccan,57
32,As-Sajdah,ٱلسَّجْدَة,The Prostration,30,3,Meccan,75
34,Al-Saba,سَبَأ,Sheba (The Queen),54,6,Meccan,58
35,Al-Fatir,فَاطِر,The Originator of Creation,45,5,Meccan,43
36,Yaseen,يس,One of the Names of Prophet Muhammad (SAW),83,5,Meccan,41
37,As-Saffat,ٱلصَّافَّات,Those Ranged in Ranks,182,5,Meccan,56
38,Saud,ص,Arabic Alphabet,88,5,Meccan,38
39,Az-Zumar,ٱلزُّمَر,The Groups,75,8,Meccan,59
40,Al-Mumin,غَافِر,The Forgiver/The Believer,85,9,Meccan,60
41,Ha-mim Sajdah,فُصِّلَت,In detail,54,6,Meccan,61
42,Ash-Shura,ٱلشُّورىٰ,The Consultations,53,5,Meccan,62
43,Al-Aukhraf,ٱلْزُّخْرُف,The Gold Adornment,89,7,Meccan,63
44,Al-Dukhan,ٱلدُّخَان,The Smoke,59,3,Meccan,64
45,Al-Jathiyah,ٱلْجَاثِيَة,The Kneeling,37,4,Meccan,65
46,Al-Ahqaf,ٱلْأَحْقَاف,The Curved-Sand Hills,35,4,Meccan,66
50,Qaaf ,ق,Arabic Alphabet,45,3,Meccan,34
51,Al-Dhariyat,ٱلذَّارِيَات,The wind that scatters,60,3,Meccan,67
52,Al-Tur,ٱلطُّور,The name of a Mountain ,49,2,Meccan,76
53,Al-Najm,ٱلنَّجْم,The Star,62,3,Meccan,23
54,Al-Qamar,ٱلْقَمَر,The Moon,55,3,Meccan,37
56,Al-Waq’iah,ٱلْوَاقِعَة,The Event,96,3,Meccan,46
67,Al-Mulk,ٱلْمُلْك,Dominion,30,2,Meccan,77
68,Al-Qalam,ٱلْقَلَم,The Pen,52,2,Meccan,2
69,Al-Haqqah,ٱلْحَاقَّة,The Inevitable,52,2,Meccan,78
70,Al-Maarij,ٱلْمَعَارِج,The way of Ascent,44,2,Meccan,79
71,Noah,نُوح,The Prophet Noah (A.S),28,2,Meccan,71
72,Al-Jin,ٱلْجِنّ,Genie,28,2,Meccan,40
73,Al-Muzammil,ٱلْمُزَّمِّل,The one wrapped in garment,20,2,Meccan,3
74,Al-Mudasir,ٱلْمُدَّثِّر,The one enveloped,56,2,Meccan,4
75,Al-Wiyamah,ٱلْقِيَامَة,The Resurrection,40,2,Meccan,31
77,Al-Mursalat,ٱلْمُرْسَلَات,Those sent forth,50,2,Meccan,33
78,Al-Naba,ٱلنَّبَأ,The great news,40,2,Meccan,80
79,Al-Naziat,ٱلنَّازِعَات,Those who pull out,46,2,Meccan,81
80,Abasa,عَبَسَ,The frowned,40,1,Meccan,24
81,Al-Takwir,ٱلتَّكْوِير,Wound round and lost its light,29,1,Meccan,7
82,Al-Infitar,ٱلْإِنْفِطَار,The cleaving,19,1,Meccan,82
83,Al-Mutaffafin,ٱلْمُطَفِّفِين,Those who deal in fraud,36,1,Meccan,86
84,Al-Inshiqaq,ٱلْإِنْشِقَاق,The splitting asunder,25,1,Meccan,83
85,Al-Buraj,ٱلْبُرُوج,The big stars,22,1,Meccan,27
86,Al-Tariq,ٱلطَّارِق,The night-comer,17,1,Meccan,36
87,Al-A’la,ٱلْأَعْلَىٰ,The most high,19,1,Meccan,8
88,Al-Ghashiya,ٱلْغَاشِيَة,The overwhelming,26,1,Meccan,68
89,Al-Fajr,ٱلْفَجْر,The break of the day/The Dawn,30,1,Meccan,10
90,Al-Balad,ٱلْبَلَد,The city,20,1,Meccan,35
91,Ash-Shams,ٱلشَّمْس,The sun,15,1,Meccan,26
92,Al-Lail,ٱللَّيْل,The night,21,1,Meccan,9
93,Al-Duha,ٱلضُّحَىٰ,The forenoon after sunrise,11,1,Meccan,11
94,Al-Inshira,ٱلشَّرْح,The opening forth,8,1,Meccan,12
95,Al-T’in,ٱلتِّين,The Fig,8,1,Meccan,28
96,Al-Alaq,ٱلْعَلَق,The Clot,19,1,Meccan,1
97,Al-Qadr,ٱلْقَدْر,The night of decree,5,1,Meccan,25
100,Al-Aadiyat,ٱلْعَادِيَات,Those who runs,11,1,Meccan,14
101,Al-Qariah,ٱلْقَارِعَة,The striking hour,11,1,Meccan,30
102,Al-Takatur,ٱلتَّكَاثُر,The pilling up emulous desire,8,1,Meccan,16
103,Al-Asr,ٱلْعَصْر,The time,3,1,Meccan,13
104,Al-Humazah,ٱلْهُمَزَة,The slanderer,9,1,Meccan,32
105,Al-Feel,ٱلْفِيل,The elephant,5,1,Meccan,19
106,Al-Quraish,قُرَيْش,A famous Arab Tribe,4,1,Meccan,29
107,Al Ma'un,ٱلْمَاعُون,The small kindnesses,7,1,Meccan,17
108,Al-Kauthar,ٱلْكَوْثَر,A river in Paradise,3,1,Meccan,15
109,Al-Kafirun,ٱلْكَافِرُون,The disbelievers,6,1,Meccan,18
111,Al-Lahab,ٱلْمَسَد,The palm rope,5,1,Meccan,6
112,Al-Ikhlas,ٱلْإِخْلَاص,The purity,3,1,Meccan,22
113,Al-Falaq,ٱلْفَلَق,The day break,5,1,Meccan,20
114,Al-Nas,ٱلنَّاس,The people,6,1,Meccan,21
2,Al-Baqarah,ٱلْبَقَرَة,The Cow,286,40,Madinah,87
3,Aal e Imran ,آلِ عِمْرَان,The Family of Imran,200,20,Madinah,89
4,Al-Nisaa,ٱلنِّسَاء,The Women,176,24,Madinah,92
5,Al-Ma’idah,ٱلْمَائِدَة,The Table spread with food,120,16,Madinah,112
8,Al-Anfaal,ٱلْأَنْفَال,The spoons of war,75,10,Madinah,88
